latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
33.10897,-97.21694,1900.16565,5.21109,16.66195,0.0559
33.10889,-97.18487,1887.79065,4.27359,15.41195,0.07845
33.10879,-97.1528,1872.5719,2.58609,15.59945,0.45768
33.10868,-97.12073,1864.79065,1.64859,16.91195,0.66508
33.10857,-97.08866,1850.97815,1.27359,18.16195,0.76131
33.10844,-97.05659,1851.91565,0.52359,18.34945,0.73235
33.10831,-97.02453,1850.47815,-0.85141,17.41195,0.66776
33.10817,-96.99246,1841.54065,-2.72641,15.59945,0.85477
33.10801,-96.96039,1841.3219,-4.35141,14.28695,1.02257
33.10785,-96.92832,1846.6344,-5.10141,14.66195,1.1678
33.13612,-97.63388,1889.97815,-5.78891,14.22445,2.72671
33.13615,-97.6018,1904.22815,-7.16391,17.03695,1.03729
33.13618,-97.56972,1907.60315,-7.35141,17.91195,-0.27568
33.13619,-97.53764,1931.3844,-5.03891,18.34945,0.13684
33.1362,-97.50556,1946.54065,1.14859,20.41195,0.7435
33.1362,-97.47348,1941.35315,6.39859,21.59945,-0.09415
33.13619,-97.4414,1921.8844,5.46109,20.22445,-0.12991
33.13616,-97.40932,1910.3844,1.52359,19.03695,0.04925
33.13613,-97.37724,1908.6969,-0.10141,19.84945,-0.43372
33.13609,-97.34516,1889.41565,1.14859,20.41195,-0.57709
33.13604,-97.31308,1886.79065,3.02359,19.97445,-0.46651
33.13598,-97.281,1887.29065,4.39859,19.28695,-0.42454
33.13591,-97.24892,1901.8219,4.89859,18.59945,-0.36651
33.13584,-97.21684,1897.8844,3.96109,16.84945,-0.64393
33.13575,-97.18476,1878.29065,2.02359,15.34945,-1.10864
33.13565,-97.15268,1867.97815,0.83609,16.34945,-0.52424
33.13555,-97.1206,1855.0094,1.52359,17.72445,0.02626
33.13543,-97.08852,1865.04065,2.58609,19.22445,0.10091
33.13531,-97.05644,1864.6969,2.58609,19.72445,0.22118
33.13517,-97.02436,1848.1344,1.89859,19.09945,0.17864
33.13503,-96.99228,1849.1969,0.27359,16.97445,0.23687
33.13488,-96.9602,1844.1344,-1.91391,14.72445,0.4145
33.13471,-96.92812,1850.1344,-3.35141,14.47445,0.66034
33.16298,-97.63393,1904.5719,-6.10141,13.22445,1.29931
33.16302,-97.60184,1918.3844,-8.28891,15.66195,-0.08702
33.16304,-97.56975,1922.0094,-9.60141,18.16195,-0.65774
33.16306,-97.53766,1944.79065,-7.97641,18.78695,-0.36723
33.16306,-97.50556,1934.3219,-3.16391,20.34945,1.39541
33.16306,-97.47347,1926.16565,1.96109,24.34945,0.60547
33.16305,-97.44138,1929.3219,3.52359,23.91195,-0.19547
33.16303,-97.40929,1925.97815,2.14859,20.97445,-0.14028
33.163,-97.3772,1903.8844,0.52359,19.97445,-0.44394
33.16296,-97.34511,1888.9469,0.14859,20.72445,-0.48226
33.16291,-97.31301,1898.35315,0.83609,21.16195,-0.39783
33.16285,-97.28092,1894.5719,1.71109,21.09945,-0.27714
33.16278,-97.24883,1900.7594,1.52359,20.16195,-0.35923
33.1627,-97.21674,1881.4469,-0.60141,18.22445,-0.88878
33.16261,-97.18465,1869.1969,-4.10141,15.78695,-1.3426
33.16252,-97.15256,1856.3844,-6.28891,16.34945,-0.26106
33.16241,-97.12047,1865.66565,-5.41391,17.72445,0.41434
33.16229,-97.08838,1867.66565,-3.41391,19.22445,-0.18407
33.16217,-97.05628,1857.97815,-2.22641,19.72445,-0.33007
33.16204,-97.02419,1845.29065,-1.85141,18.97445,-0.37528
33.16189,-96.9921,1857.2594,-2.35141,17.09945,-0.56703
33.16174,-96.96001,1847.66565,-3.22641,15.47445,-0.5238
33.16158,-96.92792,1850.66565,-3.60141,15.53695,-0.03196
33.18985,-97.63398,1917.4469,-4.47641,12.97445,1.16529
33.18988,-97.60187,1933.22815,-7.10141,13.72445,0.13634
33.18991,-97.56977,1949.6344,-10.41391,16.34945,-0.35658
33.18992,-97.53767,1947.29065,-10.85141,17.47445,-0.47999
33.18993,-97.50557,1938.35315,-7.66391,18.66195,2.57392
33.18993,-97.47346,1943.41565,-3.66391,25.34945,2.50743
33.18991,-97.44136,1936.85315,-1.28891,25.28695,0.35674
33.18989,-97.40926,1920.79065,-0.22641,22.47445,-0.31742
33.18986,-97.37715,1898.3219,0.14859,21.53695,-0.56844
33.18982,-97.34505,1908.04065,-0.35141,22.16195,-0.29364
33.18977,-97.31295,1908.2594,-0.72641,22.41195,-0.00615
33.18971,-97.28085,1897.66565,-0.53891,22.34945,0.17318
33.18964,-97.24874,1885.3219,-0.78891,21.84945,-0.08112
33.18957,-97.21664,1869.6344,-1.78891,20.78695,-0.4866
33.18948,-97.18454,1861.97815,-4.60141,17.22445,-0.23227
33.18938,-97.15244,1869.8844,-8.22641,15.47445,0.88295
33.18927,-97.12033,1866.16565,-9.72641,16.09945,1.69236
33.18916,-97.08823,1855.2594,-9.35141,17.34945,1.69542
33.18903,-97.05613,1846.85315,-8.60141,17.78695,1.01235
33.1889,-97.02403,1843.60315,-7.85141,17.41195,0.0812
33.18876,-96.99193,1863.2594,-7.41391,16.16195,-0.45622
33.1886,-96.95982,1849.1969,-7.16391,15.22445,-0.30984
33.18844,-96.92772,1844.3219,-6.28891,15.59945,0.19732
33.21671,-97.63402,1932.85315,-1.97641,13.47445,1.34139
33.21675,-97.60191,1963.9469,-3.78891,12.97445,0.25448
33.21677,-97.5698,1975.2594,-8.10141,13.28695,-1.47356
33.21679,-97.53768,1947.8844,-11.16391,14.22445,-0.97825
33.2168,-97.50557,1940.4469,-10.41391,16.59945,3.97006
33.21679,-97.47345,1941.10315,-7.78891,23.78695,3.69619
33.21678,-97.44134,1929.5719,-5.72641,23.22445,0.63774
33.21676,-97.40923,1915.5719,-3.47641,22.72445,-0.74286
33.21673,-97.37711,1900.2594,-0.66391,23.97445,-1.07171
33.21669,-97.345,1918.8219,0.08609,24.72445,-0.57165
33.21664,-97.31288,1913.10315,-0.35141,24.53695,-0.1498
33.21658,-97.28077,1896.3844,-0.41391,24.22445,-0.10074
33.21651,-97.24866,1883.0094,-0.10141,24.09945,-0.0811
33.21643,-97.21654,1874.79065,0.46109,23.59945,-0.12637
33.21634,-97.18443,1878.41565,0.08609,19.91195,0.1072
33.21625,-97.15232,1877.0094,-2.28891,15.91195,1.05301
33.21614,-97.1202,1863.1969,-4.85141,14.53695,2.1304
33.21603,-97.08809,1853.97815,-6.41391,14.91195,2.37264
33.2159,-97.05597,1842.7594,-7.16391,15.66195,1.4847
33.21577,-97.02386,1847.04065,-7.47641,16.22445,0.45983
33.21562,-96.99175,1858.41565,-7.66391,15.72445,0.14283
33.21547,-96.95964,1847.35315,-8.03891,14.53695,0.24273
